case_id,category,question,iterations,query_count,complexity,elapsed_ms,llm_ms,tool_ms,sql_ms,input_tokens,cached_tokens,output_tokens,total_tokens,ok,error
E01,活跃,最近 7 天的日活怎么样？,3,1,简单,6302.4,6296.2,6.2,5.8,7173,6528,393,7566,True,
E02,活跃,现在的月活跃用户数是多少？,3,1,简单,2516.2,2488.9,27.3,26.8,7004,6400,240,7244,True,
E03,活跃,用户粘性现在是多少？,2,1,简单,2651.9,2591.1,60.8,60.3,4638,4224,330,4968,True,
E04,留存,次留是多少？,3,1,简单,3045.5,2975.1,70.4,69.7,7326,6784,244,7570,True,
E05,留存,七日留存率怎么样？,3,1,简单,3280.6,3228.9,51.7,51.2,7333,6784,344,7677,True,
E06,留存,D30 留存是多少？,3,1,简单,3833.3,3794.1,39.3,38.8,7334,6528,301,7635,True,
E07,增长,最近两周每天的新增用户数是多少？,3,1,简单,4182.2,4179.9,2.3,2.1,7216,6528,506,7722,True,
E08,增长,最近 14 天的日活情况如何？,3,1,简单,3985.1,3972.5,12.6,12.3,7260,6528,459,7719,True,
E09,商业化,最近的付费率是多少？,3,1,简单,3134.0,3116.0,18.0,17.5,7075,6528,282,7357,True,
E10,商业化,ARPU 现在是多少？,3,1,简单,3236.4,3222.5,13.8,13.4,7187,6656,270,7457,True,
E11,商业化,付费用户的人均付费是多少？,3,1,简单,3892.3,3878.1,14.3,13.6,7074,6528,297,7371,True,
E12,商业化,新用户 30 天的 LTV 是多少？,3,1,简单,3565.3,3220.0,345.3,344.4,7321,6784,362,7683,True,
E13,留存,新手引导的漏斗转化情况怎么样？,3,1,简单,4270.4,4207.0,63.4,62.9,7442,6784,397,7839,True,
E14,渠道,各渠道的次日留存对比如何？,3,1,简单,4346.6,4296.9,49.6,48.8,7388,6528,492,7880,True,
E15,版本,v2.0.0 上线后新用户留存变好了吗？,3,2,复杂,3446.6,3387.5,59.1,58.0,7820,6656,513,8333,True,
E16,版本,v1.9.0 版本的留存对比情况如何？,3,2,复杂,4777.9,4587.3,190.5,189.0,7804,7040,595,8399,True,
E19,长尾问法,这几天活跃的人多吗？,2,1,简单,3129.7,3120.8,8.9,8.6,4744,4224,346,5090,True,
E20,长尾问法,昨天 DAU 是多少？,3,1,简单,2779.9,2777.4,2.5,2.3,7082,6528,224,7306,True,
E21,长尾问法,七日留存掉了吗？,3,1,简单,3965.6,3951.6,13.9,13.3,7333,6784,390,7723,True,
E22,长尾问法,我们的付费转化情况怎么样？,3,3,复杂,3643.1,3574.3,68.8,66.9,8000,7292,515,8515,True,
