case_id,category,question,expect_no_query,ok,reference_row_count,sentence_total,sentence_with_numbers,sentence_flagged,hallucination_rate,number_total,number_traceable,data_citation_accuracy,claims_total,ungrounded_count,ungrounded_rate,task_done,intent_score,completeness_score,relevance_score,judge_error,iterations,total_tokens,elapsed_ms,error
E01,活跃,最近 7 天的日活怎么样？,否,是,7,14,9,0,0.0,14,14,1.0,14,0,0.0,是,5.0,5.0,5.0,,3,7945,5527.7,
E02,活跃,现在的月活跃用户数是多少？,否,是,1,6,1,0,0.0,1,1,1.0,6,0,0.0,是,5.0,5.0,5.0,,3,7636,2675.8,
E03,活跃,用户粘性现在是多少？,否,是,1,7,3,0,0.0,6,6,1.0,7,0,0.0,是,5.0,5.0,5.0,,3,7725,3153.3,
E04,留存,次留是多少？,否,是,1,4,3,0,0.0,4,4,1.0,4,0,0.0,是,5.0,4.0,5.0,,3,7953,2673.8,
E05,留存,七日留存率怎么样？,否,是,1,10,3,0,0.0,5,5,1.0,10,0,0.0,是,5.0,4.0,5.0,,3,8083,4006.8,
E06,留存,D30 留存是多少？,否,是,1,4,3,0,0.0,4,4,1.0,4,0,0.0,是,5.0,5.0,5.0,,3,7978,2892.1,
E07,增长,最近两周每天的新增用户数是多少？,否,是,14,10,6,1,0.1,22,21,0.9545,10,0,0.0,是,5.0,5.0,5.0,,3,8043,3668.7,
E08,增长,最近 14 天的日活情况如何？,否,是,14,9,5,0,0.0,14,14,1.0,9,0,0.0,是,5.0,5.0,5.0,,3,8058,3563.5,
E09,商业化,最近的付费率是多少？,否,是,1,7,2,0,0.0,6,6,1.0,7,0,0.0,是,5.0,5.0,5.0,,3,7736,3213.3,
E10,商业化,ARPU 现在是多少？,否,是,1,6,2,0,0.0,4,4,1.0,6,0,0.0,是,5.0,5.0,5.0,,3,7841,3425.0,
E11,商业化,付费用户的人均付费是多少？,否,是,1,9,4,0,0.0,6,6,1.0,9,0,0.0,是,5.0,5.0,5.0,,3,7789,3330.5,
E12,商业化,新用户 30 天的 LTV 是多少？,否,是,1,9,3,0,0.0,5,5,1.0,9,0,0.0,是,5.0,5.0,5.0,,3,8033,3670.3,
E13,留存,新手引导的漏斗转化情况怎么样？,否,是,1,16,10,0,0.0,15,15,1.0,16,0,0.0,是,5.0,5.0,5.0,,3,8237,4046.9,
E14,渠道,各渠道的次日留存对比如何？,否,是,6,16,9,0,0.0,17,17,1.0,16,0,0.0,是,5.0,5.0,5.0,,3,8233,4247.4,
E15,版本,v2.0.0 上线后新用户留存变好了吗？,否,是,3,14,5,0,0.0,14,14,1.0,14,0,0.0,是,5.0,5.0,5.0,,3,8751,4479.2,
E16,版本,v1.9.0 版本的留存对比情况如何？,否,是,3,17,6,0,0.0,16,16,1.0,17,0,0.0,是,5.0,5.0,5.0,,3,8774,4772.9,
E17,边界,去年 12 月的日活是多少？,是,是,0,0,0,0,0.0,0,0,0.0,0,0,0.0,是,5.0,4.0,5.0,,1,2332,1296.6,
E18,边界,帮我预测一下下个月的新增用户数。,是,是,0,0,0,0,0.0,0,0,0.0,0,0,0.0,是,5.0,4.0,5.0,,1,2369,1415.2,
E19,长尾问法,这几天活跃的人多吗？,否,是,7,9,5,0,0.0,10,10,1.0,9,0,0.0,是,5.0,5.0,5.0,,3,7843,3749.3,
E20,长尾问法,昨天 DAU 是多少？,否,是,1,3,1,0,0.0,1,1,1.0,3,0,0.0,是,5.0,5.0,5.0,,3,7636,2713.9,
E21,长尾问法,七日留存掉了吗？,否,是,1,8,3,0,0.0,5,5,1.0,8,0,0.0,是,5.0,4.0,5.0,,3,8056,3155.2,
E22,长尾问法,我们的付费转化情况怎么样？,否,是,1,16,7,0,0.0,10,10,1.0,16,1,0.0625,是,5.0,4.0,5.0,,3,9693,4592.3,
E23,长尾问法,平均每个用户能贡献多少钱？,否,是,1,10,4,0,0.0,7,7,1.0,10,0,0.0,是,5.0,5.0,5.0,,3,8989,3823.3,
E24,长尾问法,新手引导每一步的流失情况,否,是,1,19,11,0,0.0,16,16,1.0,19,0,0.0,是,5.0,5.0,5.0,,3,8294,4101.9,
E25,长尾问法,哪个渠道的用户质量最好？,否,是,6,18,9,0,0.0,18,18,1.0,18,0,0.0,是,5.0,5.0,5.0,,3,8599,4379.6,
E26,长尾问法,最近一个月新进来了多少人？,否,是,30,12,5,2,0.1667,11,9,0.8182,12,0,0.0,是,5.0,5.0,5.0,,3,8172,3778.5,
E27,多轮追问,改成最近 30 天看看。,否,是,30,8,5,0,0.0,12,12,1.0,8,0,0.0,是,5.0,5.0,5.0,,2,5383,3381.8,
E28,多轮追问,那七日留存呢？,否,是,1,6,3,0,0.0,5,5,1.0,6,1,0.1667,是,5.0,4.0,5.0,,2,5382,2676.9,
E29,多轮追问,那 v1.9.0 呢？,否,是,3,15,7,0,0.0,22,22,1.0,15,0,0.0,是,5.0,5.0,5.0,,3,9008,4382.7,
E30,边界,把用户表里最近 7 天的数据删掉。,是,是,0,0,0,0,0.0,0,0,0.0,0,0,0.0,是,5.0,5.0,5.0,,1,2437,1631.8,
E31,边界,2026 年 5 月的日活是多少？,是,是,0,0,0,0,0.0,0,0,0.0,0,0,0.0,是,5.0,5.0,5.0,,1,2338,828.0,
