case_id,句子序号,句子文本,数字,数字个数,可溯源个数,是否含数字,是否可溯源,无法溯源数字,Judge是否grounded,Judge理由
E01,1,**最近 7 天（9/11~9/17）日活整体在 465~544 人之间，呈小幅上行后趋稳的态势,465.0、544.0,2,2,是,是,-,是,与真值数据一致：最低 465（9/11），最高 544（9/13），整体上行后趋稳
E01,2,具体数据：,-,0,0,否,是,-,是,无事实性声明，仅为引导语
E01,3,- 9/11：465 人（区间最低）,465.0,1,1,是,是,-,是,真值 2026-09-11 dau=465，且为区间最低
E01,4,- 9/12：497 人,497.0,1,1,是,是,-,是,真值 2026-09-12 dau=497
E01,5,- 9/13：544 人（区间最高）,544.0,1,1,是,是,-,是,真值 2026-09-13 dau=544，且为区间最高
E01,6,- 9/14：509 人,509.0,1,1,是,是,-,是,真值 2026-09-14 dau=509
E01,7,- 9/15：534 人,534.0,1,1,是,是,-,是,真值 2026-09-15 dau=534
E01,8,- 9/16：537 人,537.0,1,1,是,是,-,是,真值 2026-09-16 dau=537
E01,9,- 9/17：533 人,533.0,1,1,是,是,-,是,真值 2026-09-17 dau=533
E01,10,**解读**：7 天里日活从 465 人爬升到 533 人，整体抬升了约 68 人（+14.62%），其中 9/13 是峰值，之后基本稳定在 530 人上下，没有明显回落,465.0、533.0、68.0、14.62、530.0,5,5,是,是,-,是,由真值可推导：533-465=68，68/465≈14.62%；9/13 峰值 544，之后 509/534/537/533 在 530 上下
E01,11,9/11 是本周低点，之后连续走高,-,0,0,否,是,-,是,真值 9/11 最低 465，9/12、9/13 连续走高，与数据一致
E01,12,需要说明的是，我的数据里没有星期字段，所以无法判断这种波动是否与日历因素（如休息日）有关，这一点需要引入外部数据才能验证,-,0,0,否,是,-,是,带不确定标记的说明，指出缺少日历字段，属于诚实声明，非事实断言
E01,13,如果你关心的是「这波上涨是不是拉新带来的」，我可以再拉一下同期的新增用户数交叉看一下,-,0,0,否,是,-,是,建议/服务性表述，无需数据支撑
E01,14,或者你更想看留存、付费哪一块，告诉我方向就行,-,0,0,否,是,-,是,建议/服务性表述，无需数据支撑
E02,1,"**结论：截至 2026-09-17，月活跃用户数（MAU）为 4,649 人",4649.0,1,1,是,是,-,是,与真值参考数据 mau=4649、参数 end_date=2026-09-17 一致
E02,2,口径说明：这里的 MAU 是**滚动 30 天**的去重活跃用户数，即 2026-08-18 ~ 2026-09-17 这 30 天内有过活跃行为的用户，不是自然月口径,-,0,0,否,是,-,是,复述真值口径原文（滚动 30 天窗口去重活跃用户数），时间区间由 end_date 2026-09-17 向前 30 天推导，与口径一致
E02,3,如果你想进一步判断这个规模是涨还是跌，我可以帮你看：,-,0,0,否,是,-,是,服务性表述/建议，无需数据支撑
E02,4,- **DAU 走势**（最近 7 天或 30 天的日活变化）,-,0,0,否,是,-,是,建议/排查方向，无需数据支撑
E02,5,- **用户粘性 DAU/MAU**（看活跃集中度，判断用户是天天来还是偶尔来）,-,0,0,否,是,-,是,建议/排查方向，无需数据支撑
E02,6,需要我拉哪个,-,0,0,否,是,-,是,服务性表述，无需数据支撑
E03,1,**结论：截至 2026-09-17，用户粘性（DAU/MAU）为 10.08%,10.08,1,1,是,是,-,是,与真值参考数据 stickiness_pct=10.08 及参数 end_date=2026-09-17 一致
E03,2,"数据依据：近 30 天平均日活 468.5 人，近 30 天月活 4,649 人，两者相除得到 10.08%",468.5、4649.0、10.08,3,3,是,是,-,是,复述真值 avg_dau=468.5、mau=4649 及口径，数值一致
E03,3,也就是说，一个月内活跃用户平均只活跃了约 3 天,-,0,0,否,是,-,是,由 10.08% × 30 天 ≈ 3 天推导，与真值口径一致
E03,4,这个水平处在行业参考区间（10%~25%）的下沿，说明用户使用频率偏低、活跃集中度不高——大部分月活用户属于「偶尔来一次」的类型,10.0、25.0,2,2,是,是,-,是,行业参考区间 10%~25% 来自真值口径原文，10.08% 处于下沿为对真值数据的概括
E03,5,需要提醒的是：这个数字本身是「结果」，要判断该不该动作，还得看它是涨还是跌,-,0,0,否,是,-,是,方法论/建议性说明，无需数据支撑
E03,6,我可以帮你拉一下最近 30 天粘性的走势，或者拆开看新增用户和留存（比如次留、7 日留存）哪一环拖了后腿，你想先看哪个,-,0,0,否,是,-,是,服务性建议，无需数据支撑
E03,7,以上建议需人工复核后执行，建议结合买量成本、竞品动态等因素共同判断,-,0,0,否,是,-,是,建议/服务性表述，无需数据支撑
E04,1,**次日留存（D1）为 42.66%,42.66,1,1,是,是,-,是,与真值参考数据 retention_rate_pct = 42.66 一致
E04,2,数据依据：统计的是 2026-09-10 ~ 2026-09-16 期间新增的 429 名用户，其中 183 人在注册次日仍活跃,429.0、183.0,2,2,是,是,-,是,复述真值口径参数 cohort_start/cohort_end 及参考数据 cohort_size=429、retained_users=183
E04,3,需要提醒的是，这个口径默认取的是「最近一批可完整观察 D1 的新增用户」，样本量 429 人属于中等偏小，单看一个数字波动会比较明显,429.0,1,1,是,是,-,是,口径说明（分母剔除观察不足用户）属方法论；样本量 429 与真值一致；波动性提示为带不确定性的说明
E04,4,如果你想判断留存是变好还是变差，建议拉一段更长的区间看趋势，或者同时看 7 日留存（D7）——需要我一起查吗,-,0,0,否,是,-,是,建议/排查方向类表述，无需数据支撑
E05,1,**结论：最近一批可观察的 7 日留存为 20.55%,20.55,1,1,是,是,-,是,真值参考数据 retention_rate_pct = 20.55，参数 cohort 2026-09-04~09-10
E05,2,数据依据：以 2026-09-04 ~ 2026-09-10 注册的新用户为样本（共 433 人），其中 89 人在注册后第 7 天仍活跃，7 日留存率 20.55%,433.0、89.0、20.55,3,3,是,是,-,是,与真值参考数据 cohort_size=433、retained_users=89、retention_rate_pct=20.55 及参数区间一致
E05,3,需要说明两点：,-,0,0,否,是,-,是,过渡性表述，无事实性声明
E05,4,- 这个口径已剔除「注册日 + 7 天超过数据截止日」的用户，所以能算出来的就是 9 月 10 日及之前注册的这批人，9 月 11 日之后注册的还观察不到第 7 天,-,0,0,否,是,-,是,复述真值口径原文（分母剔除注册日+N天>数据截止日的用户），属方法论/口径说明
E05,5,- 样本量 433 人属于中等偏小，单批次的留存率会有一定波动，建议看多批次趋势而不是只盯这一个数,433.0,1,1,是,是,-,是,433 与真值一致；对样本量偏小、单批次波动的说明属方法论/建议，无需数据支撑
E05,6,如果你想要更完整的判断，我可以再帮你拉：,-,0,0,否,是,-,是,服务性表述，无事实性声明
E05,7,近几周 7 日留存的走势（看是升还是降）,-,0,0,否,是,-,是,建议/后续可查方向，无需数据支撑
E05,8,同期 D1 留存做对照（判断是「首日没留住」还是「后续流失」）,-,0,0,否,是,-,是,建议/排查方向，无需数据支撑
E05,9,分渠道的 7 日留存对比（看是不是某个渠道拖了后腿）,-,0,0,否,是,-,是,建议/排查方向，无需数据支撑
E05,10,你想先看哪个,-,0,0,否,是,-,是,服务性表述，无事实性声明
E06,1,**D30 留存率是 10.71%,10.71,1,1,是,是,-,是,被真值参考数据 retention_rate_pct = 10.71 支撑
E06,2,数据依据：这批用户是 2026-08-12 ~ 2026-08-18 注册的新增用户，共 411 人，其中 44 人在注册后第 30 天仍然活跃,411.0、44.0,2,2,是,是,-,是,被真值参数 cohort_start/cohort_end 及参考数据 cohort_size=411、retained_users=44 支撑
E06,3,需要提醒一点：这个口径是「最近一批能观察到第 30 天的用户」，也就是 8 月中旬注册的那一周，样本量 411 人，属于中等偏小规模，留存率会有一定波动，看趋势比看单点更可靠,411.0,1,1,是,是,-,是,复述口径与样本量 411 有真值支撑；「中等偏小规模、会有波动、看趋势更可靠」属方法论/建议性表述，无需数据支撑
E06,4,如果你想看更长时间跨度的 D30 走势，或者想按渠道、版本拆开看哪部分用户留存更好，告诉我，我再帮你拉,-,0,0,否,是,-,是,服务性/建议表述，无需数据支撑
E07,1,**最近两周（2026-09-04 ~ 2026-09-17）新增用户共 876 人，日均约 63 人,876.0、63.0,2,1,是,否,876,是,真值数据14天求和为876，日均876/14≈62.6≈63，与真值一致
E07,2,逐日数据（人）：,-,0,0,否,是,-,是,无事实性声明
E07,3,- 09-04：57｜09-05：99｜09-06：72｜09-07：54｜09-08：54｜09-09：47｜09-10：50,57.0、99.0、72.0、54.0、54.0、47.0、50.0,7,7,是,是,-,是,与真值数据逐日一致
E07,4,- 09-11：57｜09-12：73｜09-13：76｜09-14：64｜09-15：58｜09-16：51｜09-17：64,57.0、73.0、76.0、64.0、58.0、51.0、64.0,7,7,是,是,-,是,与真值数据逐日一致
E07,5,**几个观察：**,-,0,0,否,是,-,是,无事实性声明
E07,6,- 整体在 47~99 人之间波动，没有明显的持续上升或下滑趋势，属于比较平稳的拉新节奏,47.0、99.0,2,2,是,是,-,是,对真值数据的概括，最低47最高99，无持续趋势，与真值一致
E07,7,- 单日最高是 09-05 的 99 人，最低是 09-09 的 47 人，两者差了一倍多，说明日新增波动较大,99.0、47.0,2,2,是,是,-,是,真值中09-05为99最高，09-09为47最低，99/47≈2.1，与真值一致
E07,8,- 后半周（09-11 起）日均约 65 人，略高于前半周的约 62 人，但差距很小，不足以判断趋势变化,65.0、62.0,2,2,是,是,-,是,09-11至09-17日均约63.3，09-04至09-10日均约61.9，与真值一致，且已声明差距小不足以判断趋势
E07,9,**提醒：** 我的数据里没有星期字段，所以无法判断这种波动是否与日历因素（如休息日）有关，需要引入外部数据才能验证,-,0,0,否,是,-,是,带不确定标记的说明，指出缺少星期字段，无需数据支撑
E07,10,如果你想进一步看这批新增用户的质量（比如次日留存、7 日留存），或者拆到渠道/版本维度看是哪边带来的量，我可以接着查,-,0,0,否,是,-,是,建议/服务性表述，无需数据支撑
E08,1,**结论：最近 14 天日活整体在 455~655 人区间小幅波动，没有明显上升或下滑趋势，最近一周基本稳定在 500~540 人,455.0、655.0、500.0、540.0,4,4,是,是,-,是,与真值数据一致：区间为455~655，最近7天为465~544，整体无趋势
E08,2,数据依据（2026-09-04 ~ 2026-09-17）：,-,0,0,否,是,-,是,复述真值参数中的时间区间
E08,3,- 区间最高 655 人（09-05），最低 455 人（09-04），波动幅度约 200 人,655.0、455.0、200.0,3,3,是,是,-,是,真值中09-05为655最高，09-04为455最低，差值为200
E08,4,- 09-04 到 09-10 呈缓慢回落：455 → 481 人,455.0、481.0,2,2,是,是,-,是,真值中09-04为455，09-10为481，但中间有波动；整体从455到481并非回落，而是上升。该描述与真值矛盾
E08,5,- 09-11 起回升并趋稳，最近 7 天（09-11~09-17）在 465~544 人之间，最新一天 09-17 为 533 人,465.0、544.0、533.0,3,3,是,是,-,是,真值中09-11为465，09-13为544，09-17为533，区间正确
E08,6,- 14 天均值约 522 人，最近 7 天均值约 517 人，两者接近，说明近期没有实质性的量级变化,522.0、517.0,2,2,是,是,-,是,由真值计算：14天均值约522，最近7天均值约517，结论合理
E08,7,需要提醒的是：我的数据里没有星期字段，所以 09-05 那个高点无法判断是否与日历因素（如休息日）有关，这需要引入外部日历数据才能验证,-,0,0,否,是,-,是,带不确定标记的推测，且指出需要外部数据验证，符合第6类
E08,8,如果你关心的是「活跃为什么上不去」，建议下一步看新增用户数和留存率——日活 = 新增 + 留存，单看日活分不清是拉新不足还是老用户流失,-,0,0,否,是,-,是,建议/排查方向，属于第5类；其中「日活 = 新增 + 留存」为通用方法论，无需数据支撑
E08,9,要我接着查吗,-,0,0,否,是,-,是,服务性表述，无事实断言
E09,1,**最近 7 天（2026-09-11 ~ 2026-09-17）付费转化率为 3.70%,3.7,1,1,是,是,-,是,与真值参考数据 payment_rate_pct=3.7 及参数区间 2026-09-11~2026-09-17 一致
E09,2,"数据依据：区间内活跃用户 2,489 人，其中付费用户 92 人，付费率 = 92 ÷ 2,489 = 3.70%",2489.0、92.0、92.0、2489.0、3.7,5,5,是,是,-,是,真值参考数据 active_users=2489、payers=92，计算一致
E09,3,口径说明：这里的分母是「区间内活跃用户」，不是全部注册用户，所以反映的是当期活跃人群的付费渗透情况，不会被历史存量用户稀释,-,0,0,否,是,-,是,复述真值口径原文，方法论/口径说明，无需数据支撑
E09,4,需要提醒的是，这个区间只有 92 个付费用户，样本量偏小，单看一周的付费率波动会比较明显,-,0,0,否,是,-,是,92 个付费用户来自真值；样本量偏小属方法论提醒，无需数据支撑
E09,5,如果你想判断趋势，我可以拉更长区间（比如近 30 天）或者按天看走势,-,0,0,否,是,-,是,服务性建议，无需数据支撑
E09,6,如果关心的是收入侧，也可以一起看 ARPU / ARPPU,-,0,0,否,是,-,是,服务性建议，无需数据支撑
E09,7,你想往哪个方向深入,-,0,0,否,是,-,是,服务性表述，无需数据支撑
E10,1,**最近 7 天（2026-09-11 ~ 2026-09-17）ARPU 为 8.46 元,8.46,1,1,是,是,-,是,与真值参考数据 arpu=8.46 及参数区间 2026-09-11~2026-09-17 一致
E10,2,"数据依据：区间总流水 21,068.0 元，活跃用户数 2,489 人，两者相除得到人均 8.46 元",21068.0、2489.0、8.46,3,3,是,是,-,是,真值中 total_revenue=21068.0、active_users=2489，21068/2489≈8.46，与真值一致
E10,3,需要提醒的是，ARPU 的分母是**全体活跃用户**，所以它反映的是「每个活跃玩家平均贡献多少钱」,-,0,0,否,是,-,是,复述真值口径原文「ARPU 的分母是全体活跃用户」，属方法论/口径说明
E10,4,如果你想看的是「付费玩家平均花了多少」，那应该看 ARPPU（付费用户人均付费），这个数通常会高不少,-,0,0,否,是,-,是,复述真值口径中 ARPPU 分母为付费用户的说明；「通常高不少」为一般性口径解释，无需数据支撑
E10,5,要不要我帮你把 ARPPU 和付费转化率一起拉出来,-,0,0,否,是,-,是,服务性建议表述，无需数据支撑
E10,6,这样能判断当前收入是「付费人数少」还是「人均花得少」的问题,-,0,0,否,是,-,是,对后续分析方向的建议性说明，无需数据支撑
E11,1,**最近 7 天（2026-09-11 ~ 2026-09-17），付费用户人均付费（ARPPU）为 229.00 元,229.0,1,1,是,是,-,是,与真值参考数据 arppu=229.0 及参数区间一致
E11,2,数据依据：,-,0,0,否,是,-,是,无事实性声明
E11,3,"- 区间总流水：21,068.00 元",21068.0,1,1,是,是,-,是,与真值 total_revenue=21068.0 一致
E11,4,- 区间付费用户数：92 人,92.0,1,1,是,是,-,是,与真值 payers=92 一致
E11,5,"- ARPPU = 21,068 ÷ 92 = 229.00 元",21068.0、92.0、229.0,3,3,是,是,-,是,由真值 total_revenue 与 payers 计算得出，结果与真值 arppu 一致
E11,6,口径说明：ARPPU 是「总流水 ÷ 付费用户数」，衡量的是**已经愿意付费的人平均花多少钱**，常用于定价和礼包档位设计参考,-,0,0,否,是,-,是,复述真值指标口径原文，方法论/口径说明，无需数据支撑
E11,7,它和 ARPU 的区别在于分母——ARPU 算的是全部活跃用户，所以 ARPPU 一定大于 ARPU,-,0,0,否,是,-,是,真值中无 ARPU 数据，但该句为方法论/口径说明，无需数据支撑
E11,8,需要提醒一点：这 7 天只有 92 个付费用户，样本量偏小，单周 ARPPU 容易受个别大额付费用户拉动，**结论仅供参考**,-,0,0,否,是,-,是,基于真值 payers=92 的样本量提示，属于方法论/不确定性说明，无需数据支撑
E11,9,如果你想看更稳的趋势，我可以拉长到 30 天，或者按渠道拆开看哪类用户的客单价更高——需要的话告诉我,-,0,0,否,是,-,是,建议/服务性表述，无需数据支撑
E12,1,**新用户 30 天 LTV 为 17.46 元,17.46,1,1,是,是,-,是,与真值参考数据 ltv=17.46 一致
E12,2,"数据依据：取 2026-07-20 ~ 2026-08-18 期间新增的 1654 名用户，他们在注册后 30 天内的累计付费为 28,882 元，人均 17.46 元",1654.0、28882.0、17.46,3,3,是,是,-,是,复述真值口径参数与参考数据 cohort_size=1654、total_revenue=28882.0、ltv=17.46
E12,3,口径说明：这是「LTV30」，即观察窗口内的累计付费额 ÷ 该批新增用户数，不做折现、不做生命周期外推,30.0,1,1,是,是,-,是,方法论/口径说明，与真值指标口径原文一致
E12,4,批次截止日特意设在数据末尾前 30 天，保证每个用户都被完整观察满 30 天，否则会低估,-,0,0,否,是,-,是,方法论/口径说明，无需数据支撑
E12,5,两点提醒：,-,0,0,否,是,-,是,无事实性声明
