case_id,category,question,expect_query,expected_metric_id,expected_params,actual_metric_ids,actual_params,tool_sequence,query_success_count,mapping_ok,params_ok,error_class,verdict,iterations,elapsed_ms,total_tokens,error
E01,活跃,最近 7 天的日活怎么样？,是,dau,-,dau,"{""start_date"": ""2026-09-11"", ""end_date"": ""2026-09-17""}",get_metric_detail > query_metric,1,1,,OK,通过,3,5028.2,7524,
E02,活跃,现在的月活跃用户数是多少？,是,mau,-,mau,"{""end_date"": ""2026-09-17""}",get_metric_detail > query_metric,1,1,,OK,通过,3,2757.2,7296,
E03,活跃,用户粘性现在是多少？,是,stickiness,-,stickiness,"{""end_date"": ""2026-09-17""}",get_metric_detail > query_metric,1,1,,OK,通过,3,3468.3,7369,
E04,留存,次留是多少？,是,retention_rate,"{""day_n"": 1}",retention_rate,"{""day_n"": 1, ""cohort_start"": ""2026-09-10"", ""cohort_end"": ""2026-09-16""}",get_metric_detail > query_metric,1,1,1,OK,通过,3,2872.0,7603,
E05,留存,七日留存率怎么样？,是,retention_rate,"{""day_n"": 7}",retention_rate,"{""day_n"": 7, ""cohort_start"": ""2026-09-04"", ""cohort_end"": ""2026-09-10""}",get_metric_detail > query_metric,1,1,1,OK,通过,3,3544.0,7669,
E06,留存,D30 留存是多少？,是,retention_rate,"{""day_n"": 30}",retention_rate,"{""day_n"": 30, ""cohort_start"": ""2026-08-12"", ""cohort_end"": ""2026-08-18""}",get_metric_detail > query_metric,1,1,1,OK,通过,3,3193.7,7635,
E07,增长,最近两周每天的新增用户数是多少？,是,new_user_count,"{""start_date"": ""2026-09-04"", ""end_date"": ""2026-09-17""}",new_user_count,"{""start_date"": ""2026-09-04"", ""end_date"": ""2026-09-17""}",get_metric_detail > query_metric,1,1,1,OK,通过,3,3526.7,7588,
E08,增长,最近 14 天的日活情况如何？,是,dau,"{""start_date"": ""2026-09-04"", ""end_date"": ""2026-09-17""}",dau,"{""start_date"": ""2026-09-04"", ""end_date"": ""2026-09-17""}",get_metric_detail > query_metric,1,1,1,OK,通过,3,4013.7,7688,
E09,商业化,最近的付费率是多少？,是,payment_rate,-,payment_rate,"{""start_date"": ""2026-09-11"", ""end_date"": ""2026-09-17""}",get_metric_detail > query_metric,1,1,,OK,通过,3,2968.7,7323,
E10,商业化,ARPU 现在是多少？,是,arpu,-,arpu,"{""start_date"": ""2026-09-11"", ""end_date"": ""2026-09-17""}",get_metric_detail > query_metric,1,1,,OK,通过,3,3107.5,7448,
E11,商业化,付费用户的人均付费是多少？,是,arppu,-,arppu,"{""start_date"": ""2026-09-11"", ""end_date"": ""2026-09-17""}",get_metric_detail > query_metric,1,1,,OK,通过,3,3198.0,7385,
E12,商业化,新用户 30 天的 LTV 是多少？,是,ltv,"{""window_days"": 30}",ltv,"{""window_days"": 30, ""cohort_start"": ""2026-07-20"", ""cohort_end"": ""2026-08-18""}",get_metric_detail > query_metric,1,1,1,OK,通过,3,3765.0,7661,
E13,留存,新手引导的漏斗转化情况怎么样？,是,tutorial_funnel,-,tutorial_funnel,"{""start_date"": ""2026-09-11"", ""end_date"": ""2026-09-17""}",get_metric_detail > query_metric,1,1,,OK,通过,3,4675.6,7890,
E14,渠道,各渠道的次日留存对比如何？,是,channel_retention,"{""day_n"": 1}",channel_retention,"{""day_n"": 1, ""cohort_start"": ""2026-08-18"", ""cohort_end"": ""2026-09-16""}",get_metric_detail > query_metric,1,1,1,OK,通过,3,4043.2,7878,
E15,版本,v2.0.0 上线后新用户留存变好了吗？,是,version_retention,"{""version_id"": ""v2.0.0"", ""day_n"": 1}",version_retention > version_retention,"{""version_id"": ""v2.0.0"", ""day_n"": 7, ""before_days"": 14, ""history_days"": 28, ""cohort_end"": ""2026-09-17""}",get_metric_detail > query_metric > query_metric,2,1,1,OK,通过,3,3592.2,8348,
E16,版本,v1.9.0 版本的留存对比情况如何？,是,version_retention,"{""version_id"": ""v1.9.0""}",version_retention > version_retention,"{""version_id"": ""v1.9.0"", ""day_n"": 7, ""before_days"": 14, ""history_days"": 28, ""cohort_end"": ""2026-09-17""}",get_metric_detail > query_metric > query_metric,2,1,1,OK,通过,3,5091.5,8400,
E17,边界,去年 12 月的日活是多少？,否,-,-,-,{},-,0,,,OK,通过,1,915.1,2181,
E18,边界,帮我预测一下下个月的新增用户数。,否,-,-,-,{},-,0,,,OK,通过,1,1715.0,2302,
E19,长尾问法,这几天活跃的人多吗？,是,dau,-,dau,"{""start_date"": ""2026-09-11"", ""end_date"": ""2026-09-17""}",get_metric_detail > query_metric,1,1,,OK,通过,2,2597.9,5108,
E20,长尾问法,昨天 DAU 是多少？,是,dau,"{""start_date"": ""2026-09-16"", ""end_date"": ""2026-09-16""}",dau,"{""start_date"": ""2026-09-16"", ""end_date"": ""2026-09-16""}",get_metric_detail > query_metric,1,1,1,OK,通过,3,2635.6,7280,
E21,长尾问法,七日留存掉了吗？,是,retention_rate,"{""day_n"": 7}",retention_rate > retention_rate > retention_rate,"{""day_n"": 7, ""cohort_start"": ""2026-08-21"", ""cohort_end"": ""2026-08-27""}",get_metric_detail > query_metric > query_metric > query_metric,3,1,1,OK,通过,4,4817.6,11170,
E22,长尾问法,我们的付费转化情况怎么样？,是,payment_rate,-,payment_rate > arppu > arpu,"{""start_date"": ""2026-09-11"", ""end_date"": ""2026-09-17""}",get_metric_detail > get_metric_detail > query_metric > query_metric > query_metric,3,1,,OK,通过,3,4434.4,8514,
E23,长尾问法,平均每个用户能贡献多少钱？,是,arpu,-,arpu > arppu > payment_rate,"{""start_date"": ""2026-09-11"", ""end_date"": ""2026-09-17""}",list_metrics > get_metric_detail > get_metric_detail > query_metric > query_metric > query_metric,3,1,,OK,通过,4,4845.2,13021,
